Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	RD139_Narrow_UPS1_0_1fmol_inj3.mzML	RD139_Narrow_UPS1_0_1fmol_inj1.mzML	RD139_Narrow_UPS1_0_1fmol_inj2.mzML	RD139_Narrow_UPS1_0_25fmol_inj3.mzML	RD139_Narrow_UPS1_0_25fmol_inj1.mzML	RD139_Narrow_UPS1_0_25fmol_inj2.mzML
P03841	P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	5.55264e+06	5.5761e+06	5.58627e+06	5.77499e+06	6.74661e+06	6.01985e+06
P04036	P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	2.95037e+06	3.16018e+06	2.82533e+06	3.58977e+06	3.56309e+06	3.44692e+06
P04079	P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	5.85321e+06	5.62478e+06	6.00279e+06	5.69741e+06	5.88137e+06	5.71159e+06
P04128	P04128	FIMA1_ECOLI	fimA	Type-1 fimbrial protein, A chain	1.6367e+06	1.56281e+06	2.2232e+06	1.43201e+06	1.4302e+06	2.05819e+06
P04425	P04425	GSHB_ECOLI	gshB	Glutathione synthetase	8.06307e+06	7.20658e+06	7.77384e+06	8.50911e+06	8.57054e+06	8.72603e+06
P04693	P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	1.61861e+06	1.64643e+06	1.70675e+06	1.70761e+06	1.91764e+06	2.0045e+06
P04805	P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	9.05637e+06	8.57164e+06	9.18854e+06	8.26946e+06	8.21629e+06	8.17966e+06
P04816	P04816	LIVK_ECOLI	livK	Leucine-specific-binding protein	368518	430731	437940	395398	509048	377552
P04825	P04825	AMPN_ECOLI	pepN	Aminopeptidase N	6.03501e+06	6.29296e+06	5.84105e+06	6.14561e+06	5.88326e+06	5.8877e+06
P04846	P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	2.30651e+06	2.13191e+06	3.20816e+06	2.65394e+06	3.61337e+06	3.21981e+06
P04949	P04949	FLIC_ECOLI	fliC	Flagellin	1.3131e+07	1.3476e+07	1.40251e+07	1.37872e+07	1.46516e+07	1.49562e+07
P04968	P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	1.50937e+06	1.53954e+06	1.46334e+06	1.46589e+06	1.60008e+06	1.61347e+06
P04982	P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	800159	864868	851411	794579	791960	909489
P04993	P04993	RECD_ECOLI	recD	RecBCD enzyme subunit RecD	210167	122423	145453		145747	103815
P04994	P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	112521			173981	224610	118601
P04995	P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	1.17725e+06	1.02706e+06	1.06937e+06	1.01125e+06	1.07151e+06	1.08792e+06
P05020	P05020	PYRC_ECOLI	pyrC	Dihydroorotase	632695	607061	599279	659228	618024	629848
P05041	P05041	PABB_ECOLI	pabB	Aminodeoxychorismate synthase component 1	298086	156377	162471	193129	210411	107546
P05055	P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	3.33316e+07	3.30071e+07	3.47875e+07	3.42405e+07	3.61404e+07	3.5094e+07
P05194	P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	335692	264983	298426	365891		334159
P05458	P05458	PTRA_ECOLI	ptrA	Protease 3	606220	726799	680501	617651	798013	710932
P05459	P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	2.22108e+06	2.26497e+06	2.24749e+06	2.38502e+06	2.43084e+06	2.514e+06
P05637	P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	343728	440791	398783	405670	273496	404656
P05719	P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	796402	917451	1.02521e+06	865875	1.10743e+06	1.11727e+06
P05791	P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	357034	354385	417640	462682	491913	427747
P05793	P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	2.63923e+06	2.81502e+06	2.847e+06	2.82223e+06	3.17018e+06	2.94626e+06
P05825	P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	1.32859e+06	1.49065e+06	1.48691e+06	1.55347e+06	1.6142e+06	1.50593e+06
P05852	P05852	TSAD_ECOLI	tsaD	tRNA N6-adenosine threonylcarbamoyltransferase	1.97593e+06	2.15711e+06	1.93295e+06	1.82713e+06	1.92728e+06	1.99435e+06
P06129	P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	5.59956e+06	5.34561e+06	5.41226e+06	5.51375e+06	5.83276e+06	5.4443e+06
P06149	P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	1.16122e+06	1.24299e+06	1.25967e+06	1.17165e+06	1.18751e+06	1.28025e+06
P06282	P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	288553	206589	290580	321139	381665	251278
P06610	P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	4.13155e+06	3.92891e+06	3.58255e+06	4.14299e+06	3.98138e+06	3.88723e+06
P06612	P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	3.86239e+06	3.87485e+06	3.8902e+06	3.7788e+06	3.62206e+06	3.73893e+06
P06616	P06616	ERA_ECOLI	era	GTPase Era	4.33448e+06	4.1345e+06	3.82952e+06	4.06094e+06	3.68939e+06	3.67277e+06
P06710	P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	1.02388e+06	1.11261e+06	1.03729e+06	1.14029e+06	1.23476e+06	1.17343e+06
P06715	P06715	GSHR_ECOLI	gor	Glutathione reductase	673826	631270	547467	754764	593673	557038
P06846	P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	704657	849638	794812	673560	638521	746111
P06959	P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	2.00836e+07	1.8367e+07	1.94537e+07	2.1657e+07	2.21937e+07	2.2931e+07
P06961	P06961	CCA_ECOLI	cca	Multifunctional CCA protein	644537	662532	572674	631635	607676	666296
P06968	P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	7.69782e+06	7.53292e+06	7.73019e+06	7.50685e+06	7.22621e+06	7.20933e+06
P06971	P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	1.14216e+06	964754	1.1218e+06	1.22711e+06	1.31236e+06	1.22591e+06
P06974	P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	596932	561939	538323	609676	538312	568452
P06983	P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	1.98987e+06	1.75378e+06	1.96558e+06	2.19153e+06	2.12624e+06	2.15289e+06
P06986	P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	553513	399090	468460	576847	470979	525382
P06987	P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	138140	186209	127316	138138	163082	183581
P06992	P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	990137	866236	1.03011e+06	882241	858214	831493
P06993	P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	52302.6		50223.1	87324.8		95115.8
P06996	P06996	OMPC_ECOLI	ompC	Outer membrane protein C	9.35097e+06	7.90235e+06	8.7447e+06	1.0218e+07	9.71074e+06	1.07321e+07
P06999	P06999	PFKB_ECOLI	pfkB	ATP-dependent 6-phosphofructokinase isozyme 2	980652	1.02132e+06	1.04856e+06	1.04706e+06	1.01512e+06	995967
P07001	P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	1.48655e+06	1.33877e+06	1.51454e+06	1.65789e+06	1.84599e+06	1.74183e+06
P07003	P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	1.11531e+06	1.01918e+06	1.12336e+06	1.13688e+06	1.17554e+06	1.20558e+06
P07004	P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	2.32891e+06	2.19085e+06	2.21006e+06	2.23787e+06	2.25506e+06	2.39707e+06
P07012	P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	8.29178e+06	7.60085e+06	8.39388e+06	8.39418e+06	8.39398e+06	8.46931e+06
P07014	P07014	SDHB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	1.23496e+06	1.18546e+06	1.24351e+06	1.40556e+06	1.19223e+06	1.25915e+06
P07017	P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	1.35951e+06	1.53065e+06	1.64428e+06	1.47311e+06	1.4376e+06	1.60845e+06
P07021	P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	373595	345438	318302	530451	473271	482762
P07023	P07023	TYRA_ECOLI	tyrA	T-protein	582914	691593	709056	800013	823774	833039
P07024	P07024	USHA_ECOLI	ushA	Protein UshA	925573	1.10713e+06	1.0132e+06	1.13141e+06	1.15985e+06	1.13293e+06
P07118	P07118	SYV_ECOLI	valS	Valine--tRNA ligase	9.66655e+06	9.70787e+06	1.01855e+07	1.04567e+07	1.07852e+07	1.07994e+07
P07330	P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	983936	1.0356e+06	960687	1.08644e+06	958494	1.02374e+06
P07363;P07363-2	P07363;P07363-2	CHEA_ECOLI	cheA	Chemotaxis protein CheA	1.59591e+06	1.59762e+06	1.79172e+06	1.76615e+06	1.88473e+06	1.96085e+06
P07364	P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	228773	158012	297794	355639	354962	230862
P07395	P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	1.59415e+07	1.62085e+07	1.64202e+07	1.64753e+07	1.63033e+07	1.61677e+07
P07604	P07604	TYRR_ECOLI	tyrR	Transcriptional regulatory protein TyrR	653978	469618	542862	675094	612377	535891
P07639	P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	1.70722e+06	1.39383e+06	2.10218e+06	1.89025e+06	1.67286e+06	1.95684e+06
P07648	P07648	RECC_ECOLI	recC	RecBCD enzyme subunit RecC	258461	373054	440264	462205	373528	367359
P07649	P07649	TRUA_ECOLI	truA	tRNA pseudouridine synthase A	1.62038e+06	1.73781e+06	1.71416e+06	1.69729e+06	1.66393e+06	1.64001e+06
P07650	P07650	TYPH_ECOLI	deoA	Thymidine phosphorylase	794688	650016	675619	636926	726673	628551
P07658	P07658	FDHF_ECOLI	fdhF	Formate dehydrogenase H	756282	651279	644662	600305	666793	624894
P07762	P07762	GLGB_ECOLI	glgB	1,4-alpha-glucan branching enzyme GlgB	804400	843259	856165	790084	828881	766982
P07813	P07813	SYL_ECOLI	leuS	Leucine--tRNA ligase	9.17144e+06	8.49942e+06	8.85872e+06	9.19241e+06	8.92078e+06	8.97921e+06
P07862	P07862	DDLB_ECOLI	ddlB	D-alanine--D-alanine ligase B	2.05625e+06	2.08322e+06	1.9875e+06	2.20233e+06	2.06588e+06	2.09602e+06
P07913	P07913	TDH_ECOLI	tdh	L-threonine 3-dehydrogenase	4.77842e+06	3.89912e+06	4.36068e+06	4.79848e+06	4.65326e+06	4.72475e+06
P08142	P08142	ILVB_ECOLI	ilvB	Acetolactate synthase isozyme 1 large subunit	103770	209937	155372	160359	81774.6	160890
P08178	P08178	PUR5_ECOLI	purM	Phosphoribosylformylglycinamidine cyclo-ligase	1.90859e+06	1.93322e+06	1.9559e+06	1.7035e+06	1.77392e+06	1.84371e+06
P08179	P08179	PUR3_ECOLI	purN	Phosphoribosylglycinamide formyltransferase	630016	612293	378854	366437	489725	416905
P08189	P08189	FIMF_ECOLI	fimF	Protein FimF	524640	438893	580059	625143	610731	597342
P08190	P08190	FIMG_ECOLI	fimG	Protein FimG	1.05605e+06	908002	1.19754e+06	1.16118e+06	1.17296e+06	1.15479e+06
P08191	P08191	FIMH_ECOLI	fimH	Protein FimH	1.77526e+06	2.1103e+06	2.05916e+06	2.00554e+06	1.96491e+06	1.9975e+06
P08192	P08192	FOLC_ECOLI	folC	Bifunctional protein FolC	1.69366e+06	1.56742e+06	1.6714e+06	1.57651e+06	1.79954e+06	1.66778e+06
P08200	P08200	IDH_ECOLI	icd	Isocitrate dehydrogenase [NADP]	9.516e+06	9.87191e+06	9.812e+06	9.7625e+06	1.0092e+07	9.94248e+06
P08201	P08201	NIRB_ECOLI	nirB	Nitrite reductase (NADH) large subunit	1.95747e+06	1.92371e+06	1.88661e+06	2.0599e+06	1.83577e+06	1.97691e+06
P08244	P08244	PYRF_ECOLI	pyrF	Orotidine 5'-phosphate decarboxylase	7.97351e+06	8.68384e+06	8.39692e+06	8.42806e+06	8.7376e+06	8.54458e+06
P08312	P08312	SYFA_ECOLI	pheS	Phenylalanine--tRNA ligase alpha subunit	6.52819e+06	6.36865e+06	6.32546e+06	6.59372e+06	6.56866e+06	6.33902e+06
P08331	P08331	CPDB_ECOLI	cpdB	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase	893520	817682	946947	917838	931045	890520
P08373	P08373	MURB_ECOLI	murB	UDP-N-acetylenolpyruvoylglucosamine reductase		211993	118160	55019.5	136278	77029.7
P08390	P08390	USG_ECOLI	usg	USG-1 protein	4.38726e+06	4.23196e+06	4.42017e+06	5.26795e+06	4.878e+06	5.16843e+06
P08395	P08395	SPPA_ECOLI	sppA	Protease 4	1.3042e+06	1.3984e+06	1.44197e+06	1.65962e+06	1.49714e+06	1.64249e+06
P08506	P08506	DACC_ECOLI	dacC	D-alanyl-D-alanine carboxypeptidase DacC	4.38262e+06	4.9181e+06	5.09484e+06	4.6466e+06	5.01858e+06	5.07296e+06
P08622	P08622	DNAJ_ECOLI	dnaJ	Chaperone protein DnaJ	1.63971e+06	1.9935e+06	1.66316e+06	1.95188e+06	1.85282e+06	1.67124e+06
P08660	P08660	AK3_ECOLI	lysC	Lysine-sensitive aspartokinase 3	1.79052e+06	1.72605e+06	1.35927e+06	1.74284e+06	1.67626e+06	1.56944e+06
P08839	P08839	PT1_ECOLI	ptsI	Phosphoenolpyruvate-protein phosphotransferase	1.73182e+07	1.6181e+07	1.70233e+07	1.83751e+07	1.89896e+07	1.89893e+07
P08956	P08956	T1RK_ECOLI	hsdR	Type I restriction enzyme EcoKI R protein	968569	1.08636e+06	1.32898e+06	1.14537e+06	1.2015e+06	1.04119e+06
P08957	P08957	T1MK_ECOLI	hsdM	Type I restriction enzyme EcoKI M protein	4.88421e+06	4.82074e+06	4.68158e+06	5.20841e+06	4.84816e+06	4.97853e+06
P09030	P09030	EX3_ECOLI	xthA	Exodeoxyribonuclease III	2.9503e+06	2.27677e+06	2.49263e+06	2.9801e+06	2.8607e+06	2.82843e+06
P09053	P09053	AVTA_ECOLI	avtA	Valine--pyruvate aminotransferase	126646	126323	158414	96252.5	165396	99374.7
P09127	P09127	HEMX_ECOLI	hemX	Putative uroporphyrinogen-III C-methyltransferase	3.57763e+06	4.08157e+06	3.96176e+06	3.85227e+06	4.1572e+06	4.09525e+06
P09147	P09147	GALE_ECOLI	galE	UDP-glucose 4-epimerase	2.91639e+06	2.92345e+06	2.94761e+06	3.30773e+06	3.31127e+06	3.47514e+06
P09148	P09148	GAL7_ECOLI	galT	Galactose-1-phosphate uridylyltransferase	1.09984e+06	1.25485e+06	1.38567e+06	1.36283e+06	1.36783e+06	1.43543e+06
P09152	P09152	NARG_ECOLI	narG	Respiratory nitrate reductase 1 alpha chain	1.93475e+06	2.17993e+06	2.03521e+06	2.00049e+06	2.1026e+06	2.06787e+06
P09155	P09155	RND_ECOLI	rnd	Ribonuclease D	216526	507919	272442	367533	354943	375743
P09158	P09158	SPEE_ECOLI	speE	Polyamine aminopropyltransferase	3.68862e+06	3.18908e+06	3.51212e+06	3.53385e+06	3.10399e+06	3.40817e+06
P09169	P09169	OMPT_ECOLI	ompT	Protease 7	1.1761e+06	1.03688e+06	1.1738e+06	1.45826e+06	1.24849e+06	1.26187e+06
P09348	P09348	MOTA_ECOLI	motA	Motility protein A	123694	162811	181021	146890	247048	210244
P09372	P09372	GRPE_ECOLI	grpE	Protein GrpE	352781	415466	304399	662417	420928	441452
P09373	P09373	PFLB_ECOLI	pflB	Formate acetyltransferase 1	1.60492e+08	1.49941e+08	1.59363e+08	1.78831e+08	1.77292e+08	1.81685e+08
P09394	P09394	GLPQ_ECOLI	glpQ	Glycerophosphoryl diester phosphodiesterase	2.07475e+06	2.29875e+06	2.1338e+06	2.6324e+06	2.91079e+06	2.96494e+06
P09424	P09424	MTLD_ECOLI	mtlD	Mannitol-1-phosphate 5-dehydrogenase	1.70312e+06	1.70981e+06	1.73665e+06	1.80476e+06	1.74611e+06	1.61931e+06
P09546	P09546	PUTA_ECOLI	putA	Bifunctional protein PutA	697087	798722	786450	757271	795734	844134
P09549	P09549	DEDD_ECOLI	dedD	Cell division protein DedD	467955	302243	440565	308763	248350	288997
P09831	P09831	GLTB_ECOLI	gltB	Glutamate synthase [NADPH] large chain	1.66783e+06	1.5091e+06	1.52388e+06	1.73516e+06	1.64541e+06	1.63127e+06
P09832	P09832	GLTD_ECOLI	gltD	Glutamate synthase [NADPH] small chain	2.41664e+06	2.21527e+06	2.36928e+06	2.4189e+06	2.47225e+06	2.47587e+06
P09996	P09996	YIDB_ECOLI	yidB	Uncharacterized protein YidB	169279	260048	199656	314176	303919	124380
P0A698	P0A698	UVRA_ECOLI	uvrA	UvrABC system protein A	1.19996e+06	1.13555e+06	1.24032e+06	1.22331e+06	1.21572e+06	1.29689e+06
P0A6A3	P0A6A3	ACKA_ECOLI	ackA	Acetate kinase	6.86872e+07	6.26419e+07	7.12466e+07	6.71858e+07	6.24236e+07	6.94238e+07
P0A6A8	P0A6A8	ACP_ECOLI	acpP	Acyl carrier protein	3.26283e+06	3.10978e+06	2.79988e+06	2.98101e+06	2.78033e+06	2.96245e+06
P0A6B4	P0A6B4	ALR1_ECOLI	alr	Alanine racemase, biosynthetic	2.26521e+06	2.07968e+06	2.0867e+06	2.14141e+06	2.12719e+06	2.08811e+06
P0A6B7	P0A6B7	ISCS_ECOLI	iscS	Cysteine desulfurase IscS	5.23358e+06	4.29419e+06	4.86026e+06	5.448e+06	5.34524e+06	5.30032e+06
P0A6C1	P0A6C1	END4_ECOLI	nfo	Endonuclease 4	1.13245e+06	833091	1.26577e+06	916055	949442	1.19797e+06
P0A6D0	P0A6D0	ARGR_ECOLI	argR	Arginine repressor	873126	496793	786798	867144	714290	883204
P0A6D7	P0A6D7	AROK_ECOLI	aroK	Shikimate kinase 1	1.87698e+06	1.82225e+06	2.00422e+06	1.73295e+06	1.86083e+06	1.79762e+06
P0A6E1	P0A6E1	AROL_ECOLI	aroL	Shikimate kinase 2	140335	134892	121761	261855	231541	149237
P0A6E4	P0A6E4	ASSY_ECOLI	argG	Argininosuccinate synthase	1.52677e+06	1.45495e+06	1.54959e+06	1.76363e+06	1.55604e+06	1.49678e+06
P0A6E6	P0A6E6	ATPE_ECOLI	atpC	ATP synthase epsilon chain	1.39735e+06	1.72262e+06	1.49911e+06	1.53855e+06	1.68185e+06	1.65793e+06
P0A6E9	P0A6E9	BIOD2_ECOLI	bioD2	ATP-dependent dethiobiotin synthetase BioD 2	5.16596e+06	5.70863e+06	5.42666e+06	5.66737e+06	5.73502e+06	5.30596e+06
P0A6F1	P0A6F1	CARA_ECOLI	carA	Carbamoyl-phosphate synthase small chain	5.2831e+06	5.62641e+06	5.17058e+06	5.56208e+06	5.47929e+06	5.61298e+06
P0A6F3	P0A6F3	GLPK_ECOLI	glpK	Glycerol kinase	1.90857e+06	1.98583e+06	1.82974e+06	1.85597e+06	2.0578e+06	2.04866e+06
